State,Inches,Milli­metres,Rank
Nevada,9.5,241,50
Utah,12.2,310,49
Wyoming,12.9,328,48
Arizona,13.6,345,47
New Mexico,14.6,370,46
Montana,15.3,390,45
Colorado,15.9,405,44
North Dakota,17.8,452,43
Idaho,18.9,481,42
South Dakota,20.1,511,41
California,22.2,563,40
Alaska,22.5,572,39
Nebraska,23.6,599,38
Minnesota,27.3,693,37
Oregon,27.4,695,36
Kansas,28.9,733,35
Texas,28.9,734,34
Wisconsin,32.6,829,33
Michigan,32.8,833,32
Iowa,34,864,31
Oklahoma,36.5,927,30
Washington,38.4,976,29
Ohio,39.1,993,28
Illinois,39.2,996,27
Indiana,41.7,1060,26
New York,41.8,1062,25
Maine,42.2,1072,23
Missouri,42.2,1071,24
Vermont,42.7,1085,22
Pennsylvania,42.9,1089,21
New Hampshire,43.4,1103,20
Virginia,44.3,1125,19
Maryland,44.5,1131,18
West Virginia,45.2,1147,17
Delaware,45.7,1160,16
New Jersey,47.1,1196,15
Massachusetts,47.7,1211,14
Rhode Island,47.9,1218,13
Kentucky,48.9,1242,12
South Carolina,49.8,1264,11
Connecticut,50.3,1279,9
North Carolina,50.3,1279,9
Arkansas,50.6,1284,8
Georgia,50.7,1287,7
Tennessee,54.2,1376,6
Florida,54.5,1385,5
Alabama,58.3,1480,4
Mississippi,59,1499,3
Louisiana,60.1,1528,2
Hawaii,63.7,1618,1